make,model,year,category,safety_feature,description
DJI,Mavic 4 Pro,2024,Camera Drone,Omnidirectional Obstacle Sensing,Detects obstacles in all directions using wide-angle and tele cameras.
DJI,Mavic 4 Pro,2024,Camera Drone,Advanced Return-To-Home,Automatically returns to home point with route optimization.
DJI,Mavic 4 Pro,2024,Camera Drone,APAS 6.0,Actively avoids obstacles during flight in any direction.
DJI,Mavic 4 Pro,2024,Camera Drone,Low-Battery Auto Landing,Initiates auto-landing when battery reaches critical levels.
DJI,Mavic 4 Pro,2024,Camera Drone,GNSS + Vision Positioning,Uses GPS/Galileo/BeiDou and downward vision for accurate hovering.
DJI,Mavic 4 Pro,2024,Camera Drone,Wind Resistance Level 7,Enhanced flight stability in strong winds.
,,,,,
DJI,Air 3,2023,Camera Drone,Omnidirectional Obstacle Sensing,Wide-angle binocular sensors provide full coverage.
DJI,Air 3,2023,Camera Drone,Advanced RTH,Optimizes return path to avoid obstacles.
DJI,Air 3,2023,Camera Drone,APAS 5.0,Automatically avoids obstacles during flight.
DJI,Air 3,2023,Camera Drone,ADS-B In (AirSense),Receives aircraft ADS-B signals for increased awareness.
DJI,Air 3,2023,Camera Drone,Low-Battery Auto Landing,Initiates landing when power becomes critically low.
,,,,,
DJI,Air 3S,2024,Camera Drone,Omnidirectional Obstacle Sensing,Full-direction sensing for obstacle avoidance.
DJI,Air 3S,2024,Camera Drone,Advanced RTH,Safe automated return with obstacle bypass.
DJI,Air 3S,2024,Camera Drone,APAS,Detects and avoids obstacles in real time.
DJI,Air 3S,2024,Camera Drone,ADS-B In,Detects nearby aircraft equipped with ADS-B transmitters.
DJI,Air 3S,2024,Camera Drone,Low-Battery Auto Landing,Automatic descent on critical battery levels.
,,,,,
DJI,Avata 2,2024,FPV / Cinewhoop,Integrated Propeller Guard,Provides impact protection in close-proximity flights.
DJI,Avata 2,2024,FPV / Cinewhoop,Turtle Mode,Allows aircraft to flip upright after a crash.
DJI,Avata 2,2024,FPV / Cinewhoop,Downward Vision Positioning,Improves stability when flying near the ground.
DJI,Avata 2,2024,FPV / Cinewhoop,Low-Battery Auto Landing,Auto-landing at critical battery levels.
DJI,Avata 2,2024,FPV / Cinewhoop,Signal Loss RTH,Initiates return if connection is lost.
,,,,,
DJI,Avata,2022,FPV / Cinewhoop,Propeller Guard Frame,Protects props and reduces crash severity.
DJI,Avata,2022,FPV / Cinewhoop,Turtle Mode,Aircraft can flip itself upright after a collision.
DJI,Avata,2022,FPV / Cinewhoop,Downward Vision Sensing,Assists hovering and low-altitude stability.
DJI,Avata,2022,FPV / Cinewhoop,Low-Battery Protection,Initiates auto-landing during critically low power.
DJI,Avata,2022,FPV / Cinewhoop,Emergency Brake,Allows abrupt stop during high-speed FPV flight.
,,,,,
DJI,Mini 4 Pro,2023,Mini Drone,Omnidirectional Obstacle Sensing,Full-angle protection in a sub-250g platform.
DJI,Mini 4 Pro,2023,Mini Drone,Advanced RTH,Precise and optimized return-to-home.
DJI,Mini 4 Pro,2023,Mini Drone,APAS,Automatically avoids obstacles during normal flight.
DJI,Mini 4 Pro,2023,Mini Drone,Low-Battery Auto Landing,Autonomous landing when necessary.
DJI,Mini 4 Pro,2023,Mini Drone,GNSS + Downward Vision,High-precision positioning.
,,,,,
DJI,Mini 3 Pro,2022,Mini Drone,Tri-Directional Obstacle Sensing,Forward + backward + downward sensors.
DJI,Mini 3 Pro,2022,Mini Drone,Advanced RTH,Returns home with intelligent pathing.
DJI,Mini 3 Pro,2022,Mini Drone,Low-Battery Auto Landing,Automatically lands when critically low.
DJI,Mini 3 Pro,2022,Mini Drone,Downward Vision Positioning,Improves stability and landing accuracy.
,,,,,
DJI,Mini 3,2022,Mini Drone,Downward Vision System,Stabilizes low-altitude flight.
DJI,Mini 3,2022,Mini Drone,RTH,Returns home on signal loss or command.
DJI,Mini 3,2022,Mini Drone,Low-Battery Protection,Auto landing when battery is critically low.
,,,,,
DJI,Air 2S,2021,Camera Drone,Upward + Forward + Downward Sensors,Provides tri-directional sensing.
DJI,Air 2S,2021,Camera Drone,APAS 4.0,Activates automatic obstacle avoidance.
DJI,Air 2S,2021,Camera Drone,ADS-B In (AirSense),Receives signals from nearby aircraft.
DJI,Air 2S,2021,Camera Drone,Advanced RTH,Intelligent path planning to home point.
DJI,Air 2S,2021,Camera Drone,Low-Battery Auto Landing,Safe descent on critical battery.
,,,,,
DJI,Mavic 3,2021,Camera Drone,Omnidirectional Obstacle Sensing,Full 360-degree obstacle detection.
DJI,Mavic 3,2021,Camera Drone,APAS 5.0,Active avoidance and bypass.
DJI,Mavic 3,2021,Camera Drone,Advanced RTH,Route-planned home return.
