id,brand,model_name,full_display_name,year_released,is_enterprise,safety_features,aka_names,active
1,DJI,Mavic Air 2,DJI Mavic Air 2,2020,f,"• Advanced Return-to-Home (RTH)
• Forward, backward, and downward obstacle sensing
• GNSS positioning (GPS/GLONASS)
• Intelligent flight battery with low-battery failsafe
• Geofencing and no-fly zone warnings
• APAS obstacle avoidance (Advanced Pilot Assistance System)",Mavic Air 2,t
2,DJI,Air 2S,DJI Air 2S,2021,f,"• Four-direction obstacle sensing
• Advanced Return-to-Home (RTH)
• GNSS positioning (GPS/GLONASS/Galileo)
• ADS-B In (AirSense) for nearby crewed aircraft awareness
• Geofencing and no-fly zone warnings
• APAS 4.0 obstacle avoidance
• Intelligent flight battery with low-battery failsafe","Air 2S
Mavic Air 2S",t
3,DJI,Mini 2,DJI Mini 2,2020,f,"• Return-to-Home (RTH)
• GNSS positioning (GPS/GLONASS)
• Downward vision and GPS for precise hovering
• Low-battery and signal-loss failsafe
• Built-in altitude and distance limits
• Geofencing and no-fly zone warnings",Mini 2,t
4,DJI,Mini 3 Pro,DJI Mini 3 Pro,2022,f,"• Tri-directional obstacle sensing (forward, backward, downward)
• Advanced Return-to-Home (RTH)
• GNSS positioning (multi-GNSS)
• APAS 4.0 obstacle avoidance
• Intelligent flight battery with low-battery failsafe
• Geofencing and no-fly zone warnings
• Built-in altitude and distance limits",Mini 3 Pro,t
5,DJI,Mini 4 Pro,DJI Mini 4 Pro,2023,f,"• Omnidirectional obstacle sensing
• Advanced Return-to-Home (RTH)
• GNSS positioning (multi-GNSS)
• APAS obstacle avoidance
• Intelligent flight battery with low-battery failsafe
• Geofencing and no-fly zone warnings
• Built-in altitude and distance limits
• Advanced braking and hover on signal loss",Mini 4 Pro,t
6,DJI,Mavic 3,DJI Mavic 3,2021,f,"• Omnidirectional obstacle sensing
• Advanced Return-to-Home (RTH) with optimized route planning
• GNSS positioning (GPS/GLONASS/Galileo)
• APAS 5.0 obstacle avoidance
• ADS-B In (AirSense) for crewed aircraft awareness
• Intelligent flight battery with low-battery failsafe
• Geofencing and no-fly zone warnings
• Advanced flight logs and error reporting",Mavic 3,t
7,DJI,Mavic 3 Classic,DJI Mavic 3 Classic,2022,f,"• Omnidirectional obstacle sensing
• Advanced Return-to-Home (RTH)
• GNSS positioning (multi-GNSS)
• APAS 5.0 obstacle avoidance
• ADS-B In (AirSense)
• Intelligent flight battery with low-battery failsafe
• Geofencing and no-fly zone warnings",Mavic 3 Classic,t
8,DJI,Mavic 3 Pro,DJI Mavic 3 Pro,2023,f,"• Omnidirectional obstacle sensing
• Advanced Return-to-Home (RTH)
• GNSS positioning (multi-GNSS)
• APAS obstacle avoidance
• ADS-B In (AirSense)
• Intelligent flight battery with low-battery failsafe
• Geofencing and no-fly zone warnings
• Multi-camera system with safety status overlays in the app",Mavic 3 Pro,t
9,DJI,Avata,DJI Avata,2022,f,"• Ducted propeller guards for contact protection
• Downward vision system and TOF sensor for stable hovering
• Return-to-Home (RTH)
• Emergency Brake and Hover function
• Turtle mode (flip after minor tip-overs)
• GNSS positioning (in Normal mode)
• Low-battery and signal-loss failsafe
• Geofencing and no-fly zone warnings",Avata,t
10,DJI,Avata 2,DJI Avata 2,,f,"• Integrated propeller guards
• Emergency Brake and Hover
• Return-to-Home (RTH)
• Downward vision and stabilization sensors
• GNSS-assisted positioning (where applicable)
• Low-battery and signal-loss failsafe
• Geofencing and no-fly zone warnings",Avata 2,t
11,DJI Enterprise,Mavic 3 Enterprise,DJI Mavic 3 Enterprise,2022,f,"• Omnidirectional obstacle sensing with enterprise tuning
• Advanced Return-to-Home (RTH) with optimized route planning
• GNSS positioning with RTK option
• APAS obstacle avoidance
• ADS-B In (AirSense)
• Geofencing and customizable unlocks via DJI FlySafe
• Intelligent flight battery with temperature and health monitoring
• Redundant IMU and sensor health monitoring
• Enterprise flight logging and password-protected data options","M3E
Mavic 3E",t
12,DJI Enterprise,Mavic 3 Thermal,DJI Mavic 3 Thermal,2022,f,"• Omnidirectional obstacle sensing
• Advanced Return-to-Home (RTH)
• GNSS positioning with RTK option
• APAS obstacle avoidance
• ADS-B In (AirSense)
• Geofencing and unlockable restricted zones for authorized ops
• Intelligent flight battery with health monitoring
• Enterprise data encryption and secure link options","M3T
Mavic 3T",t
13,DJI Enterprise,Mavic 3 Multispectral,DJI Mavic 3 Multispectral,2022,f,"• Omnidirectional obstacle sensing
• Advanced Return-to-Home (RTH)
• GNSS positioning with RTK support
• APAS obstacle avoidance
• ADS-B In (AirSense)
• Geofencing and no-fly zone warnings
• Intelligent battery with health monitoring
• Enterprise-grade flight logging and data security","M3M
Mavic 3M",t
14,DJI Enterprise,Matrice 300 RTK,DJI Matrice 300 RTK,2020,f,"• Six-direction sensing and positioning
• Redundant flight control and sensor systems
• GNSS with RTK for high-precision positioning
• Advanced Return-to-Home (RTH) with route optimization
• AirSense (ADS-B In) for crewed aircraft awareness
• IP-rated weather resistance
• Onboard health management system (UAV Health Management System)
• Multiple battery redundancy with hot-swap capability
• Geofencing and customizable unlocks for authorized ops",M300 RTK,t
15,DJI Enterprise,Matrice 350 RTK,DJI Matrice 350 RTK,2023,f,"• Six-direction sensing and positioning
• Redundant IMUs, barometers, and flight controllers
• GNSS with RTK and advanced positioning
• Advanced Return-to-Home (RTH)
• ADS-B In (AirSense)
• Enhanced IP-rated weather resistance
• UAV Health Management System (UHMS)
• Dual-battery system with redundancy and hot-swap
• Geofencing and enterprise unlock workflows",M350 RTK,t
16,DJI Enterprise,Matrice 30,DJI Matrice 30,2022,f,"• Four-direction obstacle sensing
• GNSS positioning with RTK option
• Advanced Return-to-Home (RTH)
• ADS-B In (AirSense)
• IP-rated weather resistance
• Dual-battery redundancy
• Geofencing and customizable unlocks
• Onboard health management and maintenance logs",M30,t
17,DJI Enterprise,Matrice 30T,DJI Matrice 30T,2022,f,"• Four-direction obstacle sensing
• GNSS positioning with RTK option
• Advanced Return-to-Home (RTH)
• ADS-B In (AirSense)
• IP-rated weather resistance
• Dual-battery redundancy
• Geofencing and customizable unlocks
• Onboard health management and maintenance logs",M30T,t
18,Autel,EVO II Pro,Autel EVO II Pro,2020,f,"• Omnidirectional obstacle avoidance sensors
• Return-to-Home (RTH)
• GNSS positioning (GPS/GLONASS)
• Low-battery and signal-loss failsafe
• Adjustable geofencing and distance limits
• Intelligent flight battery monitoring","EVO II Pro
EVO 2 Pro",t
19,Autel,EVO II Pro V3,Autel EVO II Pro V3,,f,"• Omnidirectional obstacle avoidance
• Return-to-Home (RTH)
• GNSS positioning with multi-constellation support
• Low-battery and signal-loss failsafe
• Adjustable geofencing and distance limits
• Improved image transmission link with failover behavior","EVO II Pro V3
EVO 2 Pro V3",t
20,Autel,EVO Lite+,Autel EVO Lite+,2021,f,"• Three-way obstacle sensing (forward, backward, downward)
• Return-to-Home (RTH)
• GNSS positioning
• Low-battery and signal-loss failsafe
• Adjustable geofencing and distance limits
• Intelligent flight battery monitoring",EVO Lite+,t
21,Autel,EVO Nano+,Autel EVO Nano+,2021,f,"• Three-way obstacle sensing (forward, backward, downward)
• Return-to-Home (RTH)
• GNSS positioning
• Low-battery and signal-loss failsafe
• Beginner-friendly geofencing and altitude limits
• Vision sensors for stable hovering",EVO Nano+,t
22,Autel,EVO Max 4T,Autel EVO Max 4T,,f,"• Multi-directional obstacle avoidance
• Redundant sensing and navigation modules
• GNSS with RTK option
• Return-to-Home (RTH)
• Low-battery and signal-loss failsafe
• Geofencing and custom limit settings
• Enterprise-grade flight logging and encryption options",EVO Max 4T,t
